#ID_REF = 
#VALUE = RMA normalized (in  log2 scale)
ID_REF	VALUE
1007_s_at	5.864252
1053_at	6.400744
117_at	8.259146
121_at	7.444134
1255_g_at	3.300671
1294_at	8.575461
1316_at	5.356456
1320_at	4.35081
1405_i_at	10.560548
1431_at	3.701339
1438_at	4.841188
1487_at	6.834081
1494_f_at	4.607686
1598_g_at	7.41357
160020_at	5.923532
1729_at	8.383312
1773_at	5.869117
177_at	4.747885
179_at	7.741135
1861_at	5.479743
200000_s_at	9.157667
200001_at	10.717068
200002_at	12.258501
200003_s_at	13.475671
200004_at	11.584486
200005_at	10.48891
200006_at	11.125879
200007_at	11.473252
200008_s_at	10.448015
200009_at	11.707965
200010_at	12.947808
200011_s_at	9.656639
200012_x_at	13.559332
200013_at	12.493687
200014_s_at	10.332388
200015_s_at	10.324231
200016_x_at	12.651116
200017_at	13.156483
200018_at	13.389301
200019_s_at	12.312903
200020_at	8.762861
200021_at	13.511283
200022_at	12.935301
200023_s_at	11.303896
200024_at	12.509247
200025_s_at	13.31105
200026_at	13.406652
200027_at	10.385518
200028_s_at	9.810962
200029_at	13.129382
200030_s_at	11.346258
200031_s_at	13.634596
200032_s_at	13.329701
200033_at	12.339122
200034_s_at	12.743289
200035_at	8.937777
200036_s_at	12.502955
200037_s_at	10.25398
200038_s_at	13.159661
200039_s_at	9.811571
200040_at	9.98305
200041_s_at	10.724027
200042_at	8.881805
200043_at	10.130553
200044_at	9.47652
200045_at	8.208836
200046_at	9.364484
200047_s_at	10.43058
200048_s_at	10.796972
200049_at	7.460828
200050_at	8.596807
200051_at	8.075313
200052_s_at	8.691731
200053_at	8.966691
200054_at	6.915649
200055_at	10.211907
200056_s_at	8.522944
200057_s_at	11.203023
200058_s_at	9.440035
200059_s_at	12.82911
200060_s_at	9.629881
200061_s_at	13.714917
200062_s_at	13.600583
200063_s_at	12.008558
200064_at	10.415206
200065_s_at	11.080766
200066_at	9.516758
200067_x_at	10.487676
200068_s_at	10.381638
200069_at	8.033236
200070_at	8.216959
200071_at	8.961506
200072_s_at	9.824511
200073_s_at	10.686293
200074_s_at	11.959316
200075_s_at	9.264839
200076_s_at	8.152152
200077_s_at	13.010989
200078_s_at	9.718502
200079_s_at	10.270728
200080_s_at	12.894679
200081_s_at	12.898073
200082_s_at	12.542016
200083_at	8.662985
200084_at	10.034483
200085_s_at	10.419348
